Intensities,Locations (cm^-1),Standard Deviations (cm^-1)
0.08278193924700747,1586.8314499296753,5.031802508060425
0.10443264817224149,1594.9284961200794,6.860507077846432
0.3481646479498993,1610.3880932075774,7.839149437379314
0.7742246979214084,1619.9287169409913,8.430932265715828
0.20280335969576752,1633.4255259611796,7.7256794043823485
0.3667869926632116,1643.5338211511676,7.188753061415716
0.28361083535982895,1651.2322834084418,7.06015146766286
0.14087340340244953,1660.0465126193217,6.846858718137969
0.2460875153216552,1668.1287694754053,6.837594347297609
0.1390974911240424,1674.666813489599,6.0354563415164195
0.07548105902664046,1681.8186954472487,6.617791924340037
0.11437269428655508,1690.7791135661375,5.938532639181404
0.22690328324185005,1699.2468394177088,5.950163902316401
0.0008748416408000641,1713.4267385158535,6.051901258379997
